ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
MAPS,16.5625,31.16363636,-46.85312135,139,"WM Technology, Inc.",3.68,0.11,0.03081,542150,307388117,779795,3.59
RETA,11.75,22.04,-46.68784029,140,"Reata Pharmaceuticals, Inc.",37.11,0.62,0.01699,360748,1151030890,731413,36.49
KZIA,8.152771641,15.12666667,-46.10331661,141,Kazia Therapeutics Limited,4.05,-0.06,-0.0146,5519177,57028461,30276,4.17
SST,16.30333333,30.23571429,-46.07921884,142,"System1, Inc.",7.15,0,0,454548,647548130,169531,7.19
DRMA,6.166507937,11.39182099,-45.86898843,143,Dermata Therapeutics Inc,0.511,-0.009,-0.01731,1171877,4798151,1300321,0.51
USO,3.488896615,6.376346979,-45.283771,144,"United States Oil Fund, LP",73.67,0,0,8899458,2432848833,10752713,74.78
VCEL,17.96111111,32.79833333,-45.23773227,145,Vericel Corporation,27.65,0,0,304888,1302865290,572110,27.76
AUPH,11.77713816,21.49452247,-45.2086541,146,Aurinia Pharmaceuticals Inc.,12.24,0.23,0.01915,2099693,1702316376,3933627,12.37
MBRX,42.14421296,76.3,-44.76512063,147,"Moleculin Biotech, Inc.",1.61,-0.04,-0.02424,69143,47154258,46835,1.53
FDMT,27.76428571,50.1,-44.58226404,148,"4D Molecular Therapeutics, Inc.",7.65,-0.04,-0.0052,253560,248385339,197702,7
BPOP,25.87916667,46.59652778,-44.46116932,149,"Popular, Inc.",76.54,-0.35,-0.00455,587448,5881339321,581084,77.88
BBIO,10.71666667,19.14212963,-44.01528527,150,"BridgeBio Pharma, Inc.",10.6,0,0,2309705,1565554895,2861310,10.79
DASH,9.686005161,17.16997083,-43.587527,151,"DoorDash, Inc.",69.44,0.08,0.00115,14984007,22032897600,6570408,74.9
MRNA,12.2659847,21.73617753,-43.56880511,152,"Moderna, Inc.",159.57,0.01,6.00E-05,4955561,63466508533,6016132,155.54
NKLA,9.027666594,15.97812401,-43.49983398,153,Nikola Corporation,5.17,-0.01,-0.00193,8037480,2181496296,13772228,5.19
UBER,11.01721831,19.31889477,-42.97179811,154,"Uber Technologies, Inc.",21.49,-0.01,-0.00047,32689429,40009479925,24515795,22.52
SBFM,9.682008547,16.94266667,-42.85428181,155,Sunshine Biopharma Inc,1.18,0.02,0.01724,241443,19134904,252372,1.17
XLE,4.846794128,8.442482721,-42.59041696,156,Energy Select Sector SPDR Fund,68.33,-0.18,-0.00263,48209505,32451131700,44932941,69.7
ABBV,19.02288729,32.87497011,-42.13565145,157,AbbVie Inc.,151.86,-0.67,-0.00439,5113557,2.69537E+11,5479930,153.93
NAD,22.66666667,38.8,-41.58075601,158,Nuveen Quality Municipal Income Fund,12.75,0,0,522103,2698525298,720552,12.72
UAMM,12.44242424,21.02,-40.80673529,159,UA Multimedia Inc,0.01,0,0,82608,3206499,33500,0.01
MO,7.715830177,13.01102509,-40.69775345,160,"Altria Group, Inc.",41.19,0.03,0.00073,11413693,74522537274,8436582,41.72
DAVE,-5,-8.333333333,-40,161,Dave Inc.,0.72,-0.0039,-0.00539,1444729,234210386,3196133,0.7199
DOCU,9.306050242,15.49942912,-39.9587548,162,"DocuSign, Inc.",64.25,0.16,0.0025,3549185,12814410960,4807250,65.32
PHIL,15.2292517,25.31385234,-39.83826919,163,"PHI Group, Inc.",0.0006,0,0,155281693,27246412,127430989,0.0006
SDC,11.44707207,18.97148148,-39.66168597,164,"SmileDirectClub, Inc.",1.03,0.01,0.0098,1204989,123112726,1615601,1.04
SLF,14.35238095,23.75,-39.56892231,165,Sun Life Financial Inc.,44.58,0,0,731145,26127161578,822819,44.9
NOVN,6.369358974,10.53209877,-39.52431404,166,"Novan, Inc.",2.34,-0.05,-0.02092,81643,45822478,77515,2.32
