ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
APVO,6.876666666666664,5.208333333333326,32.03200000000015,173,Aptevo Therapeutics Inc.,4.23,0.33,0.08462,82809,19528244,87854.0,3.77
AHPI,21.16,16.041666666666664,31.906493506493526,174,"Allied Healthcare Products, Inc.",1.65,-0.07,-0.0407,12314,6903284,25337.0,1.65
DARE,14.957264957264949,11.371296296296297,31.535267110545906,175,"Daré Bioscience, Inc.",1.27,0.03,0.02419,684153,105042069,331175.0,1.24
SQQQ,13.225613825031935,10.061762760659821,31.4443019541502,176,ProShares UltraPro Short QQQ,53.46,-0.19,-0.00354,91858377,3763577008,112291866.0,54.66
VMW,8.792222222222223,6.696296296296289,31.299778761062115,177,"VMware, Inc.",113.12,0.16,0.00142,1779887,47606470351,1551180.0,114.03
STNE,23.443089430894304,17.886904761904777,31.06286270849383,178,StoneCo Ltd.,8.26,0.05,0.00609,4578720,2187883417,7774160.0,8.28
ABCB,21.816666666666663,16.666666666666675,30.899999999999906,179,Ameris Bancorp,41.19,-0.04000092,-0.0009701896,354013,2860060416,510645.0,41.23
HGEN,7.4966294351073826,5.727652826971008,30.884843435454414,180,"Humanigen, Inc.",2.08,0.01,0.00483,6104874,146211769,1360845.0,1.81
RIVN,11.756291522752571,9.010468313417741,30.473701408460062,181,"Rivian Automotive, Inc.",29.65,-0.01,-0.00034,36729416,26478278579,10470073.0,26.86
LAC,18.229587683558268,14.01786135161136,30.045427232469855,182,Lithium Americas Corp.,19.55,-0.08,-0.00408,2356411,2641947776,2486178.0,19.82
ABT,15.640674258109044,12.040882352941185,29.896412901074054,183,Abbott Laboratories,108.78,0.09,0.00083,3975313,190309917391,4752359.0,109.3
CYN,19.84166666666667,15.299291666666658,29.690100031864297,184,Cyngn Inc.,1.26,-0.03,-0.02326,490526,43312181,912911.0,1.31
KOD,33.699999999999996,25.993333333333336,29.648627853295693,185,Kodiak Sciences Inc.,8.35,0.2,0.02454,516106,423422093,513452.0,8.03
NAKD,18.138925925925918,14.064285714285706,28.971540357015236,186,Cenntro Electric Group Limited,2.61,-0.46,-0.149837,14904169,2366144954,15468900.0,3.07
U,11.540225972564254,9.040087658857754,27.656129100217175,187,Unity Software Inc.,41.39,0.1,0.00242,5530447,12222376894,9583798.0,42.33
PACB,19.130357142857136,15.015686274509799,27.402482931015193,188,"Pacific Biosciences of California, Inc.",5.33,0.18,0.03495,5584598,1155574237,5939008.0,5.2
SIDU,14.642686170212759,11.520666666666667,27.099295499792465,189,Sidus Space Inc - Class A,3.62,0.17999983,0.05232553,1245449,135836022,104469582.0,3.44
SPOT,15.367907040704075,12.166383390705683,26.314505693155677,190,Spotify Technology S.A.,102.87,0.0,0.0,1592037,18619470000,2556368.0,104.83
CRM,17.677278075396828,14.086350970017625,25.49224503224705,191,"salesforce.com, inc.",172.31,-0.42,-0.00243,4085109,171866350000,4618069.0,172.2
SI,6.228355683269471,4.9642216397262295,25.464899339445225,192,Silvergate Capital Corporation,60.75,-0.2,-0.00328,1408896,1928081024,1137592.0,60.33
ABMD,21.557575757575755,17.214285714285715,25.23073054193383,193,"Abiomed, Inc.",253.33,0.0,0.0,280082,11558381127,205035.0,256.66
BG,17.234782608695642,13.779687500000005,25.073827753319055,194,Bunge Limited,85.85,0.0,0.0,2323894,13026178378,1450772.0,86.62
CFVI,16.169871794871792,12.93333333333333,25.024781919111817,195,CF Acquisition Corp. VI,9.95,0.0,0.0,560525,305465000,601055.0,10.01
AMD,12.083706951856055,9.762068277698678,23.782241714710505,196,"Advanced Micro Devices, Inc.",75.67,0.32,0.00425,85458857,122105270566,95685751.0,75.2
